=== NORMAL BASELINE TIMELINE ===
1	2026-09-11T07:04:05.246112689-0400	127.0.0.1	40064	127.0.0.1	80	0x0002
2	2026-09-11T07:04:05.247414320-0400	127.0.0.1	80	127.0.0.1	40064	0x0012
3	2026-09-11T07:04:05.248080268-0400	127.0.0.1	40064	127.0.0.1	80	0x0010
4	2026-09-11T07:04:05.250362575-0400	127.0.0.1	40064	127.0.0.1	80	0x0018
5	2026-09-11T07:04:05.251420253-0400	127.0.0.1	80	127.0.0.1	40064	0x0010
6	2026-09-11T07:04:05.320450638-0400	127.0.0.1	80	127.0.0.1	40064	0x0018
7	2026-09-11T07:04:05.320480463-0400	127.0.0.1	40064	127.0.0.1	80	0x0010
8	2026-09-11T07:04:05.322793110-0400	127.0.0.1	40064	127.0.0.1	80	0x0011
9	2026-09-11T07:04:05.324173605-0400	127.0.0.1	80	127.0.0.1	40064	0x0011
10	2026-09-11T07:04:05.324382408-0400	127.0.0.1	40064	127.0.0.1	80	0x0010

=== SYN SIMULATION TIMELINE ===
1	2026-09-11T07:23:51.116884816-0400	127.0.0.1	1553	127.0.0.1	80	0x0002
2	2026-09-11T07:23:51.117585259-0400	127.0.0.1	80	127.0.0.1	1553	0x0012
3	2026-09-11T07:23:51.117762724-0400	127.0.0.1	1553	127.0.0.1	80	0x0004
4	2026-09-11T07:23:52.118017766-0400	127.0.0.1	1554	127.0.0.1	80	0x0002
5	2026-09-11T07:23:52.118517526-0400	127.0.0.1	80	127.0.0.1	1554	0x0012
6	2026-09-11T07:23:52.118522852-0400	127.0.0.1	1554	127.0.0.1	80	0x0004
7	2026-09-11T07:23:53.118989954-0400	127.0.0.1	1555	127.0.0.1	80	0x0002
8	2026-09-11T07:23:53.119057184-0400	127.0.0.1	80	127.0.0.1	1555	0x0012
9	2026-09-11T07:23:53.122109815-0400	127.0.0.1	1555	127.0.0.1	80	0x0004
10	2026-09-11T07:23:54.122866673-0400	127.0.0.1	1556	127.0.0.1	80	0x0002
11	2026-09-11T07:23:54.122881983-0400	127.0.0.1	80	127.0.0.1	1556	0x0012
12	2026-09-11T07:23:54.122886849-0400	127.0.0.1	1556	127.0.0.1	80	0x0004
