1	2026-09-07T16:33:36.981510340-0400	127.0.0.1	34664	127.0.0.1	80	0x0002	0	0
2	2026-09-07T16:33:36.981757334-0400	127.0.0.1	80	127.0.0.1	34664	0x0012	0	1
3	2026-09-07T16:33:36.981770008-0400	127.0.0.1	34664	127.0.0.1	80	0x0010	1	1
4	2026-09-07T16:33:36.982120901-0400	127.0.0.1	34664	127.0.0.1	80	0x0018	1	1
5	2026-09-07T16:33:36.982262902-0400	127.0.0.1	80	127.0.0.1	34664	0x0010	1	84
6	2026-09-07T16:33:36.985286944-0400	127.0.0.1	80	127.0.0.1	34664	0x0018	1	84
7	2026-09-07T16:33:36.985363814-0400	127.0.0.1	34664	127.0.0.1	80	0x0010	84	382
8	2026-09-07T16:33:36.986258188-0400	127.0.0.1	34664	127.0.0.1	80	0x0011	84	382
9	2026-09-07T16:33:36.986491448-0400	127.0.0.1	80	127.0.0.1	34664	0x0011	382	85
10	2026-09-07T16:33:36.986670060-0400	127.0.0.1	34664	127.0.0.1	80	0x0010	85	383
